BoatIndNr,BoatIndFNBoattyp,BoatIndNamn,BoatIndParmNr,BoatIndVHF,BoatIndMobil
1,1,"Memories 2","564",,
2,3,"Liberty","843",,
4,2,"Blåöga","29",,
5,4,"Fri","47",,
6,5,"Knipan","136",,
7,7,"Rödnäbba","32",,
8,8,"Kajsa","5",,
9,9,"Tara","206",,
10,10,"Svartörn","34",,
11,11,"Apodidae","9900",,
12,12,"La Gamba","662",,
13,13,"Otium","134",,
14,14,"NiPeLi","201",,
15,15,"First Lady","1",,
16,16,"Bertha","3646",,
17,16,"Pamina","523",,
18,17,"Tikiti","25",,
19,18,"Zibaz","139",,
20,19,"Quand Même","556",,
21,20,"Matilda","163",,
22,21,"Lisa","186",,
23,11,"Amina","8677",,
24,22,"Bambina","9493",,
25,12,"Aleta","572",,
26,1,"Lou-Lou II","112",,
27,23,"Lira","111",,
28,24,"Filur","55",,
29,25,"Anna 4","112",,
30,26,"Hägern","3668",,
31,27,"Bachinella IV","50",,
32,28,"Manta","191",,
33,21,"Madeline","133",,
34,5,"Rafiki II","235",,
35,4,"Pellina","3415",,
36,29,"Johanna","984",,
37,30,"Wind Trapper","5405",,
38,31,"Sarakina II","4338",,
39,32,"Maggie","13",,
40,33,"Cascade","437",,
41,34,"Loup de mer","8",,
42,35,"Red Baron","21",,
43,36,"Marinda","7",,
44,37,"Konstantia","101",,
45,38,"Babiole II","99",,
46,39,"Libra II","53",,
47,40,"Bagatelle","8817",,
48,41,"Aurora","36",,
49,16,"Aquavita","3648",,
50,12,"Scandal","1001",,
51,12,"Amber","844",,
52,42,"Onyx","2372",,
53,43,"Alise","6275",,
54,24,"Phronesis","328",,
55,44,"Spindrifter","12",,
56,45,"Cassiopeia","29",,
57,18,"Atalya","231",,
58,46,"Johanna II","255",,
59,229,"Vindinga","503",,
60,47,"Valkyria I","317",,
61,48,"SnIFf","1894",,
62,49,"Pierina","12",,
63,3,"Havets vinthund","319",,
64,3,"Voilà","435",,
65,3,"Ella","2476",,
66,50,"Eldkvarn","77",,
67,51,"Barbier II","116",,
68,52,"Treemonisha","28",,
69,53,"Kapten Morgan","59",,
70,54,"Lisa IV","0",,
71,37,"Lydia","96",,
72,55,"Storm Stina","150",,
73,39,"Slowfox","220",,
74,5,"Lucifer","95",,
75,56,"Mais Que Nada","311",,
76,57,"Odisea","160",,
77,58,"Adelante","234",,
78,59,"Josefin","12",,
79,1,"Flisa","220",,
80,1,"Fiore","384",,
81,61,"High Tide","14",,
82,62,"Embla II","1046",,
83,62,"Louise","442",,
84,29,"Nellina","196",,
85,29,"Attrivaz","1031",,
86,63,"Mary Amanda","464",,
87,64,"Felicia","5613",,
88,64,"Storsa","189",,
89,48,"Ellinor","142",,
90,65,"Columbine","76",,
91,3,"Kronkvist III","244",,
92,66,"Betula","51",,
93,67,"Melina","41",,
94,68,"Sjömusen","8",,
95,69,"Lady Hultman","88",,
96,70,"Gustafa II","155",,
97,71,"Labolina","9266",,
98,72,"Saga II","5044",,
99,47,"Snövit","423",,
100,29,"Naya II","1081",,
101,73,"Marinad","8067",,
102,29,"Con Amore","330",,
103,75,"Caramell","118",,
104,48,"Ellen","3450",,
105,80,"Collina","8",,
107,81,"La Becasse","36",,
108,4,"Vindälva","3372",,
109,62,"Pomarina","227",,
110,9,"Games","237",,
111,82,"Lisa","7284",,
112,83,"Cherokee","367",,
113,77,"Happy","335",,
114,78,"Montenegro","53",,
115,19,"Chèrelle","448",,
116,9,"Concubine","82",,
117,41,"Glabella","61",,
118,3,"Felicia","1235",,
119,1,"Anemone","483",,
121,84,"Emmeline","257",,
123,1,"Rödnäbba","273",,
124,48,"Tillie","132",,
125,85,"Skybird","623",,
126,27,"Snörliv","72",,
127,48,"Tarantella","1267",,
128,86,"Giggle","8642",,
129,48,"Gracia","2840",,
130,48,"Havsorkestern","1999",,
131,87,"Blues","837",,
132,47,"Dark Shadow","170",,
133,12,"Saranna","888",,
134,88,"La Gun Quatre","53",,
135,48,"Orina","904",,
136,89,"Bon-Bon","112",,
137,62,"Galax","138",,
138,26,"Maxemilia","1578",,
139,90,"Kerstin III","6669",,
141,48,"Ida","617",,
142,86,"SayNoMore","8692",,
144,91,"A'Lena","190",,
145,92,"Diana","29",,
146,93,"Morskens","184",,
147,94,"Ichi Ban","43",,
149,48,"Gulifer","2164",,
150,5,"Violetta","131",,
151,96,"Jamca","1455",,
152,29,"Simona","788",,
153,18,"Bohème","233",,
154,18,"Medvind","488",,
157,97,"Hesuki","427",,
158,62,"Embla","392",,
159,12,"Pomona","722",,
160,3,"Stormförtjust","3062",,
162,98,"Selene","39",,
163,98,"Agome","10530",,
164,100,"Alphina","211",,
165,110,"Amarilla","42",,
166,107,"Amorosa","111",,
167,27,"Angeya","80",,
168,19,"Ariadne","598",,
169,103,"Blåvinge","191",,
170,104,"Caresse","64",,
171,105,"Freja","38046",,
172,109,"Froggy","450",,
173,76,"Good Fortune","288",,
174,68,"La Divina","148",,
175,99,"Lagom","36",,
176,102,"Lazzlo","113",,
177,16,"Louise","46",,
178,23,"Maja","42",,
179,108,"Mareld","101",,
180,13,"Merano","55",,
181,37,"Mezzanotte","158",,
182,18,"Miss Piggy","514",,
183,78,"Myra","684",,
184,31,"Per-L-Ann","4806",,
185,101,"Lova","44",,
186,78,"Spike","601",,
187,106,"Westanvind","194",,
188,111,"Vindola","500",,
189,112,"Brava II","19",,
190,113,"Tyr","0",,
192,27,"Caprice","112",,
193,98,"Ambision","52",,
194,114,"Xodia","104",,
195,87,"Reefer","582",,
196,115,"Hermione","0",,
197,9,"Gusty","559",,
198,27,"Far Out","46",,
199,116,"Poseidon","106",,
200,47,"l'Optimiste","331",,
201,80,"Glorianne","16",,
202,117,"Galathea","1034",,
204,119,"Kajsan","21",,
205,51,"Sommarvind","104",,
206,120,"Emmy","9435",,
207,4,"Linnea","3431",,
208,29,"Fanny","231",,
209,118,"Mira","19",,
210,59,"MieLina","11",,
211,121,"Torrens","95",,
212,122,"Xplorer","9143",,
213,48,"Hippopotamo","3102",,
214,29,"Eskapad","664",,
215,87,"Fifty-fifty","556",,
216,124,"Roina","443",,
217,121,"Kyoung-Sook","52",,
218,9,"Liberty","224",,
219,125,"Sunshine","6532",,
220,126,"Delight X","9902",,
221,55,"Albireo","198",,
222,64,"Gay","607",,
224,127,"Suspect","57",,
225,128,"Tin Tin 4","419",,
227,5,"Vågspel","30",,
229,70,"Frida","5985",,
232,42,"Cima","36",,
234,130,"Soleil","19",,
236,131,"Wind Lady","128",,
237,26,"Tristan","650",,
238,18,"Remiga","230",,
239,66,"Vindnes 4","44",,
240,132,"Josefina III","233",,
241,133,"Yggdrasil","20",,
242,65,"Feria","384",,
244,135,"Festina Lente","2994",,
246,137,"Mama Mia II","67",,
