BoatNr,BoatTyp,BoatSxkTal
1,"Cumulus",1.1000000000000001e+00
2,"Mistress",1.0900000000000001e+00
3,"Vega",1.0009999999999999e+00
4,"Sveakryssare",1.1899999999999999e+00
5,"Scanmar 33",1.1399999999999999e+00
7,"RB 98",1.1699999999999999e+00
8,"Skärgårdskryssare 75",1.2600000000000000e+00
10,"RB 111",1.1970000000000001e+00
11,"Linjett 32 7/8",1.1250000000000000e+00
12,"Scampi",1.0900000000000001e+00
13,"OE 32",1.0649999999999999e+00
14,"Lady GT",1.2200000000000000e+00
15,"Lady II",1.2100000000000000e+00
16,"Comfort 30",1.0900000000000001e+00
17,"H7",1.1499999999999999e+00
18,"Maxi 84",1.0500000000000000e+00
19,"Vindö 40",1.0340000000000000e+00
20,"Johnson 26",1.0489999999999999e+00
21,"Omega 30",1.1499999999999999e+00
22,"Birdie 32",1.1100000000000001e+00
23,"Maxi Magic",1.0800000000000001e+00
24,"H-båt",1.0800000000000001e+00
25,"Allegro 33",1.0700000000000001e+00
26,"Maxi 77",1.0400000000000000e+00
27,"Conqubin 38 CR",1.2100000000000000e+00
28,"Contrast 362",1.2000000000000000e+00
29,"Maxi 95",1.0810000000000000e+00
30,"Trapper 400",1.0500000000000000e+00
31,"Shipman 28",1.0500000000000000e+00
32,"Wasa 410",1.2889999999999999e+00
33,"Diva 38",1.2800000000000000e+00
34,"Arcona 38",1.2400000000000000e+00
35,"Ravage 36",1.2300000000000000e+00
36,"Omega 34",1.1610000000000000e+00
37,"Lady Helmsman",1.1899999999999999e+00
38,"Maxi 999",1.1599999999999999e+00
39,"Comfortina 32",1.1399999999999999e+00
40,"Aphrodite 34",1.1399999999999999e+00
41,"Scanmar 31",1.1200000000000001e+00
42,"Schelinkryssare",1.0700000000000001e+00
43,"Möre 30 MH",1.0900000000000001e+00
44,"Lord Helmsman",1.0680000000000001e+00
45,"Maxi 777",1.0700000000000001e+00
46,"HR 29",1.0500000000000000e+00
47,"RJ 85",1.0589999999999999e+00
48,"IF",1.0169999999999999e+00
49,"Cutlass 27",9.8999999999999999e-01
50,"Carrera Helmsman",1.2300000000000000e+00
51,"Arcona 355",1.2140000000000000e+00
52,"Ansa 42",1.2100000000000000e+00
53,"Wasa 30 HR",1.2100000000000000e+00
54,"HR 31 PG",1.1499999999999999e+00
55,"Albin Nova",1.1599999999999999e+00
57,"Albin Delta",1.1100000000000001e+00
58,"NF",1.1100000000000001e+00
59,"Fortissimo",1.1000000000000001e+00
61,"Sunwind 29",1.0900000000000001e+00
62,"Fenix",1.0600000000000001e+00
63,"Havskryssare",1.0500000000000000e+00
64,"Accent",1.0360000000000000e+00
65,"HR 26",1.0300000000000000e+00
66,"Storfidra",9.1000000000000003e-01
67,"Scanner 38",1.2500000000000000e+00
68,"Diva 39",1.2600000000000000e+00
69,"Sunwind 26",1.0160000000000000e+00
70,"Targa 96",1.0800000000000001e+00
71,"Gambler 38",1.2669999999999999e+00
72,"Laurinkryssare",1.0500000000000000e+00
73,"Avance 36",1.1699999999999999e+00
75,"Mamba 36",1.1990000000000001e+00
76,"HR 34",1.1899999999999999e+00
77,"Jeanneau Sun Fast 37",1.2700000000000000e+00
78,"Express",1.1200000000000001e+00
80,"Linjett 35",1.1899999999999999e+00
81,"Comfort 26",1.0800000000000001e+00
82,"Trio 80",1.0400000000000000e+00
83,"Winga 29",1.0600000000000001e+00
85,"Rasmus 35",1.0400000000000000e+00
87,"Ballad",1.0900000000000001e+00
