DeltariSeglingCtr,DeltariRegistrerandeKrets,DeltariFNDeltagare,DeltariFNSegling,DeltariSkipperGastqq,DeltariFNSkipperGast
1,"Stockholm",1,1,,2
2,"Stockholm",2,2,,2
3,"Stockholm",3,3,,2
5,"Stockholm",5,5,,2
6,"Stockholm",6,6,,2
7,"Stockholm",7,7,,2
8,"Stockholm",8,8,,2
9,"Stockholm",9,9,,2
10,"Stockholm",10,10,,2
11,"Stockholm",11,11,,2
12,"Stockholm",12,12,,2
13,"Stockholm",4,13,,2
14,"Stockholm",13,14,,2
15,"Stockholm",14,15,,2
16,"Stockholm",15,16,,2
17,"Stockholm",16,17,,2
18,"Stockholm",17,18,,2
19,"Stockholm",18,19,,2
20,"Stockholm",19,20,,2
21,"Stockholm",20,21,,2
22,"Stockholm",21,22,,2
23,"Stockholm",22,23,,2
24,"Stockholm",23,24,,2
25,"Stockholm",24,25,,2
26,"Stockholm",25,26,,2
27,"Stockholm",26,27,,2
28,"Stockholm",27,28,,2
29,"Stockholm",28,29,,2
30,"Stockholm",29,30,,2
31,"Stockholm",30,31,,2
32,"Stockholm",31,32,,2
33,"Stockholm",32,33,,2
34,"Stockholm",33,34,,2
35,"Stockholm",34,35,,2
36,"Stockholm",35,36,,2
37,"Stockholm",36,37,,2
38,"Stockholm",37,38,,2
39,"Stockholm",38,39,,2
40,"Stockholm",39,40,,2
41,"Stockholm",40,41,,2
42,"Stockholm",41,42,,2
43,"Stockholm",42,43,,2
44,"Stockholm",43,44,,2
45,"Stockholm",44,45,,2
46,"Stockholm",45,46,,2
47,"Stockholm",46,47,,2
48,"Stockholm",47,48,,2
49,"Stockholm",48,49,,2
50,"Stockholm",49,50,,2
51,"Stockholm",50,51,,2
52,"Stockholm",51,52,,2
53,"Stockholm",52,53,,2
54,"Stockholm",53,54,,2
55,"Stockholm",54,55,,2
56,"Stockholm",55,56,,2
57,"Stockholm",56,57,,2
58,"Stockholm",57,58,,2
59,"Stockholm",58,59,,2
60,"Stockholm",59,60,,2
61,"Stockholm",60,61,,2
62,"Stockholm",62,62,,2
64,"Stockholm",63,63,,2
65,"Stockholm",64,64,,2
66,"Stockholm",65,65,,2
67,"Stockholm",66,66,,2
68,"Stockholm",67,67,,2
69,"Stockholm",68,68,,2
70,"Stockholm",69,69,,2
71,"Stockholm",70,70,,2
72,"Stockholm",71,71,,2
73,"Stockholm",72,72,,2
74,"Stockholm",73,73,,2
75,"Stockholm",74,74,,2
76,"Stockholm",75,75,,2
77,"Stockholm",76,76,,2
78,"Stockholm",77,77,,2
79,"Stockholm",78,78,,2
80,"Stockholm",79,79,,2
81,"Stockholm",80,80,,2
82,"Stockholm",81,81,,2
83,"Stockholm",82,82,,2
84,"Stockholm",83,83,,2
85,"Stockholm",84,84,,2
86,"Stockholm",85,85,,2
87,"Stockholm",86,86,,2
88,"Stockholm",87,87,,2
89,"Stockholm",88,88,,2
90,"Stockholm",89,89,,2
91,"Stockholm",90,90,,2
92,"Stockholm",91,91,,2
93,"Stockholm",92,92,,2
94,"Stockholm",93,93,,2
95,"Stockholm",94,94,,2
96,"Stockholm",95,95,,2
97,"Stockholm",102,96,,2
98,"Stockholm",103,97,,2
99,"Stockholm",104,98,,2
100,"Stockholm",105,99,,2
101,"Stockholm",106,100,,2
103,"Stockholm",108,102,,2
104,"Stockholm",109,103,,2
109,"Stockholm",113,108,,2
110,"Stockholm",114,109,,2
112,"Stockholm",116,111,,2
116,"Stockholm",120,115,,2
118,"Stockholm",,68,,1
119,"Stockholm",,68,,1
120,"Stockholm",103,68,,1
122,"Stockholm",106,68,,1
124,"Stockholm",122,117,,2
125,"Stockholm",112,27,,1
126,"Stockholm",111,27,,1
127,"Stockholm",110,76,,1
128,"Stockholm",121,95,,1
129,"Stockholm",96,118,,2
130,"Stockholm",15,118,,1
131,"Stockholm",102,93,,1
132,"Stockholm",107,35,,1
133,"Stockholm",115,56,,1
134,"Stockholm",116,56,,1
135,"Stockholm",117,56,,1
136,"Stockholm",100,119,,2
137,"Stockholm",61,120,,2
138,"Stockholm",113,83,,1
139,"Stockholm",114,83,,1
140,"Stockholm",97,6,,1
141,"Stockholm",99,121,,2
142,"Stockholm",118,19,,1
143,"Stockholm",119,19,,1
224,"Stockholm",164,122,,2
225,"Stockholm",166,123,,2
226,"Stockholm",156,124,,2
227,"Stockholm",2,125,,2
228,"Stockholm",3,126,,2
229,"Stockholm",171,127,,2
230,"Stockholm",135,128,,2
231,"Stockholm",7,129,,2
232,"Stockholm",141,130,,2
233,"Stockholm",132,131,,2
234,"Stockholm",4,132,,2
235,"Stockholm",11,133,,2
236,"Stockholm",159,134,,2
237,"Stockholm",142,135,,2
238,"Stockholm",13,136,,2
239,"Stockholm",122,137,,2
240,"Stockholm",165,138,,2
241,"Stockholm",18,139,,2
242,"Stockholm",172,140,,2
243,"Stockholm",147,141,,2
244,"Stockholm",163,142,,2
245,"Stockholm",22,143,,2
246,"Stockholm",160,144,,2
247,"Stockholm",24,145,,2
248,"Stockholm",151,146,,2
249,"Stockholm",26,147,,2
250,"Stockholm",27,148,,2
251,"Stockholm",139,149,,2
252,"Stockholm",29,150,,2
253,"Stockholm",158,151,,2
254,"Stockholm",33,152,,2
255,"Stockholm",143,153,,2
256,"Stockholm",134,154,,2
257,"Stockholm",167,155,,2
258,"Stockholm",173,156,,2
259,"Stockholm",144,157,,2
260,"Stockholm",130,158,,2
261,"Stockholm",155,159,,2
262,"Stockholm",44,160,,2
263,"Stockholm",45,161,,2
264,"Stockholm",131,162,,2
265,"Stockholm",162,163,,2
266,"Stockholm",137,164,,2
267,"Stockholm",53,165,,2
268,"Stockholm",54,166,,2
269,"Stockholm",56,167,,2
270,"Stockholm",58,168,,2
271,"Stockholm",170,169,,2
272,"Stockholm",152,170,,2
273,"Stockholm",61,171,,2
274,"Stockholm",174,172,,2
275,"Stockholm",65,173,,2
276,"Stockholm",66,174,,2
277,"Stockholm",14,175,,2
278,"Stockholm",146,176,,2
279,"Stockholm",69,177,,2
280,"Stockholm",73,178,,2
281,"Stockholm",107,179,,2
282,"Stockholm",75,180,,2
283,"Stockholm",50,181,,2
284,"Stockholm",145,182,,2
285,"Stockholm",125,183,,2
286,"Stockholm",140,184,,2
287,"Stockholm",175,185,,2
288,"Stockholm",133,186,,2
289,"Stockholm",154,187,,2
290,"Stockholm",129,188,,2
291,"Stockholm",91,189,,2
292,"Stockholm",92,190,,2
293,"Stockholm",123,191,,2
294,"Stockholm",138,192,,2
295,"Stockholm",110,193,,2
296,"Stockholm",161,194,,2
297,"Stockholm",157,195,,2
298,"Stockholm",126,196,,2
299,"Stockholm",,169,,1
300,"Stockholm",168,169,,1
301,"Stockholm",169,169,,1
302,"Stockholm",21,128,,1
303,"Stockholm",111,147,,1
304,"Stockholm",76,193,,1
305,"Stockholm",34,179,,1
306,"Stockholm",124,197,,2
307,"Stockholm",124,187,,1
308,"Stockholm",180,198,,2
309,"Stockholm",181,199,,2
314,"Stockholm",55,203,,2
318,"Stockholm",184,207,,2
319,"Stockholm",78,208,,2
323,"Stockholm",22,212,,2
325,"Stockholm",187,214,,2
326,"Stockholm",88,215,,2
328,"Stockholm",25,217,,2
330,"Stockholm",189,219,,2
331,"Stockholm",14,220,,2
332,"Stockholm",21,221,,2
337,"Stockholm",60,226,,2
338,"Stockholm",191,227,,2
339,"Stockholm",19,228,,2
340,"Stockholm",9,229,,2
341,"Stockholm",4,230,,2
342,"Stockholm",73,231,,2
343,"Stockholm",193,232,,2
344,"Stockholm",194,233,,2
345,"Stockholm",89,234,,2
346,"Stockholm",195,235,,2
347,"Stockholm",65,236,,2
348,"Stockholm",41,237,,2
349,"Stockholm",6,238,,2
350,"Stockholm",125,239,,2
351,"Stockholm",92,240,,2
352,"Stockholm",176,241,,2
354,"Stockholm",196,242,,2
355,"Stockholm",81,243,,2
356,"Stockholm",30,244,,2
357,"Stockholm",95,245,,2
358,"Stockholm",18,246,,2
359,"Stockholm",82,247,,2
360,"Stockholm",27,248,,2
361,"Stockholm",197,249,,2
362,"Stockholm",198,250,,2
363,"Stockholm",10,251,,2
364,"Stockholm",83,252,,2
366,"Stockholm",185,254,,2
367,"Stockholm",171,255,,2
368,"Stockholm",96,256,,2
369,"Stockholm",199,257,,2
370,"Stockholm",135,258,,2
371,"Stockholm",201,259,,2
372,"Stockholm",33,260,,2
373,"Stockholm",136,261,,2
375,"Stockholm",137,263,,2
376,"Stockholm",182,264,,2
377,"Stockholm",45,265,,2
378,"Stockholm",69,266,,2
380,"Stockholm",54,268,,2
381,"Stockholm",7,269,,2
383,"Stockholm",3,271,,2
385,"Stockholm",202,272,,2
386,"Stockholm",203,273,,2
387,"Stockholm",139,274,,2
388,"Stockholm",204,275,,2
390,"Stockholm",11,277,,2
391,"Stockholm",206,278,,2
392,"Stockholm",207,279,,2
393,"Stockholm",208,280,,2
394,"Stockholm",100,281,,2
395,"Stockholm",48,282,,2
396,"Stockholm",209,283,,2
397,"Stockholm",118,284,,2
398,"Stockholm",210,285,,2
399,"Stockholm",86,286,,2
400,"Stockholm",145,287,,2
401,"Stockholm",211,288,,2
402,"Stockholm",29,289,,2
403,"Stockholm",2,290,,2
404,"Stockholm",67,291,,2
405,"Stockholm",62,292,,2
406,"Stockholm",77,293,,2
407,"Stockholm",212,294,,2
