SeglingNr,SeglingRegistrerandeKrets,SeglingFNStart,SeglingStartDag,SeglingStartTid,SeglingPeriod,SeglingFNBoatIndivid,SeglingBåtIndivid,SeglingBåtTyp,SeglingFNStartpunkt,SeglingStartnr,SeglingÖvertid,SeglingTotalDist,SeglingAvdrag,SeglingGodkDist,SeglingSxkTal,SeglingPlakatDist,SeglingEfteranmäld,SeglingEjStart,SeglingBrutit,SeglingFiktiv,SeglingÅr,SeglingVH,SeglingLåst,SeglingDeltarFest,SeglingDeltarFestNotering,SeglingBetalt,SeglingBetaltBelopp,SeglingKorrDistans
1,"Stockholm",1,"05/24/03 00:00:00","07:00-07:30",12,1,"Memories 2","Albin Cumulus",537,14,-74,3.8000000000000000e+01,0.0000000000000000e+00,3.8000000000000000e+01,1.0800000000000001e+00,3.5200000000000003e+01,0,0,0,0,"2003","V",1,0,,0,0,0.0000000000000000e+00
2,"Stockholm",1,"05/24/03 00:00:00","07:00-07:30",12,4,"Blåöga","Mistress",555,15,-33,5.6699999999999996e+01,0.0000000000000000e+00,5.6700000000000003e+01,1.0700000000000001e+00,5.3000000000000000e+01,0,0,0,0,"2003","V",1,0,,0,0,0.0000000000000000e+00
3,"Stockholm",1,"05/24/03 00:00:00","07:00-07:30",12,2,"Liberty","Albin Vega",555,16,-24,5.3699999999999996e+01,0.0000000000000000e+00,5.3700000000000003e+01,1.0000000000000000e+00,5.3700000000000003e+01,0,0,0,0,"2003","V",1,0,,0,0,0.0000000000000000e+00
5,"Stockholm",3,"05/23/03 00:00:00","12:00-20:00",48,6,"Knipan","Scanmar 33",588,2,-18,2.2970000000000002e+02,0.0000000000000000e+00,2.2969999999999999e+02,1.1299999999999999e+00,2.0330000000000001e+02,0,0,0,0,"2003","V",1,0,,0,0,0.0000000000000000e+00
6,"Stockholm",3,"05/23/03 00:00:00","12:00-20:00",48,7,"Rödnäbba","RB 98",533,3,-90,1.2359999999999998e+02,0.0000000000000000e+00,1.2359999999999999e+02,1.1499999999999999e+00,1.0750000000000000e+02,0,0,0,0,"2003","V",1,0,,0,0,0.0000000000000000e+00
7,"Stockholm",3,"05/23/03 00:00:00","12:00-20:00",48,8,"Kajsa","Skärgårdskryssare 75",537,4,0,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.2600000000000000e+00,0.0000000000000000e+00,0,1,0,0,"2003","V",1,0,,0,0,0.0000000000000000e+00
8,"Stockholm",3,"05/23/03 00:00:00","12:00-20:00",48,9,"Tara","Compis",540,5,0,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0600000000000001e+00,0.0000000000000000e+00,0,1,0,0,"2003","V",1,0,,0,0,0.0000000000000000e+00
9,"Stockholm",3,"05/23/03 00:00:00","12:00-20:00",48,10,"Svartörn","RB 111",555,9,-65,1.7219999999999999e+02,0.0000000000000000e+00,1.7219999999999999e+02,1.2000000000000000e+00,1.4350000000000000e+02,0,0,0,0,"2003","V",1,0,,0,0,0.0000000000000000e+00
10,"Stockholm",2,"05/24/03 00:00:00","12:00-12:30",24,11,"Apodidae","Linjett 32 7/8",555,6,-101,1.1430000000000003e+02,0.0000000000000000e+00,1.1430000000000000e+02,1.1200000000000001e+00,1.0209999999999999e+02,0,0,0,0,"2003","V",1,0,,0,0,0.0000000000000000e+00
11,"Stockholm",3,"05/23/03 00:00:00","12:00-20:00",48,12,"La Gamba","Scampi",555,7,45,2.0559999999999997e+02,6.4199999999999999e+00,1.9916999999999999e+02,1.0900000000000001e+00,1.8269999999999999e+02,0,0,0,0,"2003","V",1,0,,0,0,0.0000000000000000e+00
12,"Stockholm",3,"05/23/03 00:00:00","12:00-20:00",48,13,"Otium","OE 32",555,8,0,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0700000000000001e+00,0.0000000000000000e+00,0,1,0,0,"2003","V",1,0,,0,0,0.0000000000000000e+00
13,"Stockholm",4,"05/22/03 00:00:00","12:00-20:00",72,5,"Fri","Sveakryssare",555,1,69,3.4950000000000006e+02,1.1160000000000000e+01,3.3833999999999997e+02,1.1299999999999999e+00,2.9939999999999998e+02,0,0,0,0,"2003","V",1,0,,0,0,0.0000000000000000e+00
14,"Stockholm",3,"05/23/03 00:00:00","12:00-20:00",48,14,"NiPeLi","Lady GT",580,12,0,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.2000000000000000e+00,0.0000000000000000e+00,0,1,0,0,"2003","V",1,0,,0,0,0.0000000000000000e+00
15,"Stockholm",2,"05/23/03 00:00:00","12:00-20:00",24,15,"First Lady","Lady Helmsman Mod",580,11,-29,1.0890000000000002e+02,0.0000000000000000e+00,1.0890000000000001e+02,1.1799999999999999e+00,9.2299999999999997e+01,0,0,0,0,"2003","V",1,0,,0,0,0.0000000000000000e+00
16,"Stockholm",3,"05/23/03 00:00:00","12:00-20:00",48,16,"Bertha","Comfort 30",580,10,0,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0900000000000001e+00,0.0000000000000000e+00,0,1,0,0,"2003","V",1,0,,0,0,0.0000000000000000e+00
17,"Stockholm",3,"05/23/03 00:00:00","12:00-20:00",48,17,"Pamina","Comfort 30",580,13,0,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0900000000000001e+00,0.0000000000000000e+00,0,1,0,0,"2003","V",1,0,,0,0,0.0000000000000000e+00
19,"Stockholm",2,"05/24/03 00:00:00","12:00-12:30",24,19,"Zibaz","Maxi 84",458,20,-50,7.5300000000000011e+01,0.0000000000000000e+00,7.5299999999999997e+01,1.0400000000000000e+00,7.2400000000000006e+01,0,0,0,0,"2003","V",1,0,,0,0,0.0000000000000000e+00
20,"Stockholm",2,"05/24/03 00:00:00","12:00-12:30",24,20,"Quand Même","Vindö 40",458,18,-46,8.7899999999999991e+01,0.0000000000000000e+00,8.7900000000000006e+01,1.0400000000000000e+00,8.4500000000000000e+01,0,0,0,0,"2003","V",1,0,,0,0,0.0000000000000000e+00
21,"Stockholm",2,"05/24/03 00:00:00","12:00-12:30",24,21,"Matilda","Johnson 26",458,17,-7,8.2800000000000011e+01,0.0000000000000000e+00,8.2799999999999997e+01,1.0300000000000000e+00,8.0400000000000006e+01,0,0,0,0,"2003","V",1,0,,0,0,0.0000000000000000e+00
22,"Stockholm",2,"05/24/03 00:00:00","12:00-12:30",24,22,"Lisa","Omega 30",537,33,-28,1.0859999999999998e+02,0.0000000000000000e+00,1.0859999999999999e+02,1.1399999999999999e+00,9.5299999999999997e+01,0,0,0,0,"2003","V",1,0,,0,0,0.0000000000000000e+00
23,"Stockholm",2,"05/24/03 00:00:00","12:00-12:30",24,23,"Amina","Linjett 32 7/8",537,24,-54,8.5899999999999991e+01,0.0000000000000000e+00,8.5900000000000006e+01,1.1200000000000001e+00,7.6700000000000003e+01,0,0,0,0,"2003","V",1,0,,0,0,0.0000000000000000e+00
24,"Stockholm",2,"05/24/03 00:00:00","12:00-12:30",24,24,"Bambina","Birdie 32",537,26,0,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.1000000000000001e+00,0.0000000000000000e+00,0,0,1,0,"2003","V",1,0,,0,0,0.0000000000000000e+00
25,"Stockholm",2,"05/24/03 00:00:00","12:00-12:30",24,25,"Aleta","Scampi",537,23,65,9.1999999999999986e+01,8.3100000000000005e+00,8.3689999999999998e+01,1.0900000000000001e+00,7.6799999999999997e+01,0,0,0,0,"2003","V",1,0,,0,0,0.0000000000000000e+00
26,"Stockholm",2,"05/24/03 00:00:00","12:00-12:30",24,26,"Lou-Lou II","Albin Cumulus",537,34,0,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0800000000000001e+00,0.0000000000000000e+00,0,1,0,0,"2003","V",1,0,,0,0,0.0000000000000000e+00
27,"Stockholm",2,"05/24/03 00:00:00","12:00-12:30",24,27,"Lira","Maxi Magic",537,31,-82,7.6599999999999980e+01,0.0000000000000000e+00,7.6599999999999994e+01,1.0800000000000001e+00,7.0900000000000006e+01,0,0,0,0,"2003","V",1,0,,0,0,0.0000000000000000e+00
28,"Stockholm",2,"05/24/03 00:00:00","12:00-12:30",24,28,"Filur","H-båt",537,27,0,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0700000000000001e+00,0.0000000000000000e+00,0,1,0,0,"2003","V",1,0,,0,0,0.0000000000000000e+00
29,"Stockholm",2,"05/24/03 00:00:00","12:00-12:30",24,29,"Anna 4","Allegro 33",537,25,0,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0700000000000001e+00,0.0000000000000000e+00,0,1,0,0,"2003","V",1,0,,0,0,0.0000000000000000e+00
30,"Stockholm",2,"05/24/03 00:00:00","12:00-12:30",24,30,"Hägern","Maxi 77",537,28,0,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0300000000000000e+00,0.0000000000000000e+00,0,1,0,0,"2003","V",1,0,,0,0,0.0000000000000000e+00
31,"Stockholm",2,"05/24/03 00:00:00","12:00-12:30",24,31,"Bachinella IV","Conqubin 38 CR",540,35,50,1.0939999999999999e+02,7.5999999999999996e+00,1.0180000000000000e+02,1.2000000000000000e+00,8.4799999999999997e+01,0,0,0,0,"2003","V",1,0,,0,0,0.0000000000000000e+00
32,"Stockholm",2,"05/24/03 00:00:00","12:00-12:30",24,32,"Manta","Contrast 362",540,38,50,1.0640000000000002e+02,7.3899999999999997e+00,9.9010000000000005e+01,1.2000000000000000e+00,8.2500000000000000e+01,0,0,0,0,"2003","V",1,0,,0,0,0.0000000000000000e+00
33,"Stockholm",2,"05/24/03 00:00:00","12:00-12:30",24,33,"Madeline","Omega 30",540,37,-12,1.0330000000000001e+02,0.0000000000000000e+00,1.0330000000000000e+02,1.1399999999999999e+00,9.0599999999999994e+01,0,0,0,0,"2003","V",1,0,,0,0,0.0000000000000000e+00
34,"Stockholm",2,"05/24/03 00:00:00","12:00-12:30",24,34,"Rafiki II","Scanmar 33",540,41,73,1.0059999999999998e+02,1.0199999999999999e+01,9.0400000000000006e+01,1.1299999999999999e+00,8.0000000000000000e+01,0,0,0,0,"2003","V",1,0,,0,0,0.0000000000000000e+00
35,"Stockholm",2,"05/24/03 00:00:00","12:00-12:30",24,35,"Pellina","Sveakryssare",540,40,-1,1.0070000000000003e+02,0.0000000000000000e+00,1.0070000000000000e+02,1.1299999999999999e+00,8.9099999999999994e+01,0,0,0,0,"2003","V",1,0,,0,0,0.0000000000000000e+00
36,"Stockholm",2,"05/24/03 00:00:00","12:00-12:30",24,36,"Johanna","Maxi 95",540,36,0,8.7200000000000003e+01,0.0000000000000000e+00,8.7200000000000003e+01,1.0700000000000001e+00,8.1500000000000000e+01,0,0,0,0,"2003","V",1,0,,0,0,0.0000000000000000e+00
37,"Stockholm",2,"05/24/03 00:00:00","12:00-12:30",24,37,"Wind Trapper","Trapper 400",540,43,39,9.6800000000000026e+01,5.2400000000000002e+00,9.1560000000000002e+01,1.0500000000000000e+00,8.7200000000000003e+01,0,0,0,0,"2003","V",1,0,,0,0,0.0000000000000000e+00
