Typ Klassning SRS,Typ,SRS
"2,4mR Jolle 0.712","2,4mR",0.712
420 Jolle 0.808,420,0.808
470 Jolle 0.902,470,0.902
505 Jolle 0.977,505,0.977
29er Jolle 0.965,29er,0.965
49er Jolle 1.215,49er,1.215
E-jolle Jolle 0.775,E-jolle,0.775
eSEA Jolle 0.843,eSEA,0.843
Finn Jolle 0.847,Finn,0.847
Flying Dutchman Jolle 1.011,Flying Dutchman,1.011
IC-kanot Jolle 1.022,IC-kanot,1.022
International 14 Jolle 1.140,International 14,1.140
International Moth Jolle 1.507,International Moth,1.507
Laser Jolle 0.817,Laser,0.817
"Laser 4,7 Jolle 0.751","Laser 4,7",0.751
Laser 5000 Jolle 1.052,Laser 5000,1.052
Laser Radial Jolle 0.793,Laser Radial,0.793
Mirror Jolle 0.642,Mirror,0.642
Musto Skiff Jolle 1.038,Musto Skiff,1.038
OK Jolle 0.808,OK,0.808
Optimist Jolle 0.536,Optimist,0.536
RS Feva Jolle 0.728,RS Feva,0.728
Snipe Jolle 0.818,Snipe,0.818
Snipe Jolle 0.818,Snipe,0.818
Splash Jolle 0.754,Splash,0.754
Trissjolle Jolle 0.738,Trissjolle,0.738
Tvåkrona Jolle 0.746,Tvåkrona,0.746
Zoom 8 Jolle 0.664,Zoom 8,0.664
