SeglingFNStart,SeglingStartDag,SeglingStartTid,SeglingPeriod,StartDagCtr,StartVeckodag,StartDag,StartAr,StartVH,StartFNTid,UrvalStartTid,TmpRegatta,TmpOrganizer,TmpRace,TmpRegattaName
1,05/24/03 00:00:00,07:00-07:30,12,1,Lör,05/24/03 00:00:00,2003,V,3,07:00-07:30,Sthlm-2003V,Svenska Kryssarklubbens Stockholmskrets,Vårseglingen ,Vårseglingen 2003 i Stockholm
2,05/23/03 00:00:00,12:00-20:00,24,2,Lör,05/24/03 00:00:00,2003,V,2,12:00-12:30,Sthlm-2003V,Svenska Kryssarklubbens Stockholmskrets,Vårseglingen ,Vårseglingen 2003 i Stockholm
2,05/24/03 00:00:00,12:00-12:30,24,2,Lör,05/24/03 00:00:00,2003,V,2,12:00-12:30,Sthlm-2003V,Svenska Kryssarklubbens Stockholmskrets,Vårseglingen ,Vårseglingen 2003 i Stockholm
3,05/23/03 00:00:00,12:00-20:00,48,3,Fre,05/23/03 00:00:00,2003,V,1,12:00-20:00,Sthlm-2003V,Svenska Kryssarklubbens Stockholmskrets,Vårseglingen ,Vårseglingen 2003 i Stockholm
4,05/22/03 00:00:00,12:00-20:00,72,4,Tors,05/22/03 00:00:00,2003,V,1,12:00-20:00,Sthlm-2003V,Svenska Kryssarklubbens Stockholmskrets,Vårseglingen ,Vårseglingen 2003 i Stockholm
7,08/30/03 00:00:00,07:00-07:30,12,7,Lör,08/30/03 00:00:00,2003,H,3,07:00-07:30,Sthlm-2003H,Svenska Kryssarklubbens Stockholmskrets,Höstseglingen ,Höstseglingen 2003 i Stockholm
8,08/30/03 00:00:00,12:00-12:30,24,8,Lör,08/30/03 00:00:00,2003,H,2,12:00-12:30,Sthlm-2003H,Svenska Kryssarklubbens Stockholmskrets,Höstseglingen ,Höstseglingen 2003 i Stockholm
8,08/30/03 00:00:00,12:00-12:30,12,8,Lör,08/30/03 00:00:00,2003,H,2,12:00-12:30,Sthlm-2003H,Svenska Kryssarklubbens Stockholmskrets,Höstseglingen ,Höstseglingen 2003 i Stockholm
8,08/30/03 00:00:00,12:00-12:30,24,8,Lör,08/30/03 00:00:00,2003,H,2,12:00-12:30,Sthlm-2003H,Svenska Kryssarklubbens Stockholmskrets,Höstseglingen ,Höstseglingen 2003 i Stockholm
8,08/30/03 00:00:00,12:00-12:30,12,8,Lör,08/30/03 00:00:00,2003,H,2,12:00-12:30,Sthlm-2003H,Svenska Kryssarklubbens Stockholmskrets,Höstseglingen ,Höstseglingen 2003 i Stockholm
8,08/30/03 00:00:00,12:00-12:30,24,8,Lör,08/30/03 00:00:00,2003,H,2,12:00-12:30,Sthlm-2003H,Svenska Kryssarklubbens Stockholmskrets,Höstseglingen ,Höstseglingen 2003 i Stockholm
9,08/29/03 00:00:00,12:00-20:00,48,9,Fre,08/29/03 00:00:00,2003,H,1,12:00-20:00,Sthlm-2003H,Svenska Kryssarklubbens Stockholmskrets,Höstseglingen ,Höstseglingen 2003 i Stockholm
9,08/29/03 00:00:00,12:00-20:00,24,9,Fre,08/29/03 00:00:00,2003,H,1,12:00-20:00,Sthlm-2003H,Svenska Kryssarklubbens Stockholmskrets,Höstseglingen ,Höstseglingen 2003 i Stockholm
9,08/29/03 00:00:00,12:00-20:00,48,9,Fre,08/29/03 00:00:00,2003,H,1,12:00-20:00,Sthlm-2003H,Svenska Kryssarklubbens Stockholmskrets,Höstseglingen ,Höstseglingen 2003 i Stockholm
10,08/28/03 00:00:00,12:00-20:00,72,10,Tors,08/28/03 00:00:00,2003,H,1,12:00-20:00,Sthlm-2003H,Svenska Kryssarklubbens Stockholmskrets,Höstseglingen ,Höstseglingen 2003 i Stockholm
13,06/05/04 00:00:00,12:00-12:30,24,13,Lör,06/05/04 00:00:00,2004,V,2,12:00-12:30,Sthlm-2004V,Svenska Kryssarklubbens Stockholmskrets,Vårseglingen ,Vårseglingen 2004 i Stockholm
14,06/05/04 00:00:00,07:00-07:30,12,14,Lör,06/05/04 00:00:00,2004,V,3,07:00-07:30,Sthlm-2004V,Svenska Kryssarklubbens Stockholmskrets,Vårseglingen ,Vårseglingen 2004 i Stockholm
15,06/04/04 00:00:00,12:00-20:00,48,15,Fre,06/04/04 00:00:00,2004,V,1,12:00-20:00,Sthlm-2004V,Svenska Kryssarklubbens Stockholmskrets,Vårseglingen ,Vårseglingen 2004 i Stockholm
16,06/03/04 00:00:00,12:00-20:00,72,16,Tors,06/03/04 00:00:00,2004,V,1,12:00-20:00,Sthlm-2004V,Svenska Kryssarklubbens Stockholmskrets,Vårseglingen ,Vårseglingen 2004 i Stockholm
22,08/28/04 00:00:00,07:00-07:30,12,22,Lör,08/28/04 00:00:00,2004,H,3,07:00-07:30,Sthlm-2004H,Svenska Kryssarklubbens Stockholmskrets,Höstseglingen ,Höstseglingen 2004 i Stockholm
23,08/27/04 00:00:00,12:00-20:00,24,23,Lör,08/28/04 00:00:00,2004,H,2,12:00-12:30,Sthlm-2004H,Svenska Kryssarklubbens Stockholmskrets,Höstseglingen ,Höstseglingen 2004 i Stockholm
23,08/28/04 00:00:00,12:00-12:30,24,23,Lör,08/28/04 00:00:00,2004,H,2,12:00-12:30,Sthlm-2004H,Svenska Kryssarklubbens Stockholmskrets,Höstseglingen ,Höstseglingen 2004 i Stockholm
24,08/27/04 00:00:00,12:00-20:00,48,24,Fre,08/27/04 00:00:00,2004,H,1,12:00-20:00,Sthlm-2004H,Svenska Kryssarklubbens Stockholmskrets,Höstseglingen ,Höstseglingen 2004 i Stockholm
27,08/24/04 00:00:00,12:00-20:00,120,27,Tis,08/24/04 00:00:00,2004,H,1,12:00-20:00,Sthlm-2004H,Svenska Kryssarklubbens Stockholmskrets,Höstseglingen ,Höstseglingen 2004 i Stockholm
28,05/28/05 00:00:00,12:00-12:30,24,28,Lör,05/28/05 00:00:00,2005,V,2,12:00-12:30,Sthlm-2005V,Svenska Kryssarklubbens Stockholmskrets,Vårseglingen ,Vårseglingen 2005 i Stockholm
28,05/28/05 00:00:00,12:00-12:30,12,28,Lör,05/28/05 00:00:00,2005,V,2,12:00-12:30,Sthlm-2005V,Svenska Kryssarklubbens Stockholmskrets,Vårseglingen ,Vårseglingen 2005 i Stockholm
